Date,Open,High,Low,Close,Volume,Adj Close,Diff,StockUp,Year,Month,Day
2015-06-15,126.099998,127.239998,125.709999,126.919998,43988900,125.13056,-0.82,0,2015,6,15
2015-06-12,128.190002,128.330002,127.110001,127.169998,36886200,125.377036,1.020004,1,2015,6,12
2015-06-11,129.179993,130.179993,128.479996,128.589996,35390900,126.777013,0.589997,1,2015,6,11
2015-06-10,127.919998,129.339996,127.849998,128.880005,39087300,127.062933,-0.960007,0,2015,6,10
2015-06-09,126.699997,128.080002,125.620003,127.419998,56075400,125.623511,-0.720001,0,2015,6,9
2015-06-08,128.899994,129.210007,126.830002,127.800003,52674800,125.998158,1.099991,1,2015,6,8
2015-06-05,129.5,129.690002,128.360001,128.649994,35626800,126.836165,0.850006,1,2015,6,5
2015-06-04,129.580002,130.580002,128.910004,129.360001,38450100,127.536161,0.220001,1,2015,6,4
2015-06-03,130.660004,130.940002,129.899994,130.119995,30889400,128.285441,0.540009,1,2015,6,3
2015-06-02,129.860001,130.660004,129.320007,129.960007,33667600,128.127708,-0.100006,0,2015,6,2
2015-06-01,130.279999,131.389999,130.050003,130.539993,32112800,128.699517,-0.259994,0,2015,6,1
2015-05-29,131.229996,131.449997,129.899994,130.279999,50884500,128.443189,0.949997,1,2015,5,29
2015-05-28,131.860001,131.949997,131.100006,131.779999,30733300,129.92204,0.080002,1,2015,5,28
2015-05-27,130.339996,132.259995,130.050003,132.039993,45833200,130.178369,-1.699997,0,2015,5,27
2015-05-26,132.600006,132.910004,129.119995,129.619995,70697600,127.79249,2.980011,1,2015,5,26
2015-05-22,131.600006,132.970001,131.399994,132.539993,45596000,130.67132,-0.939987,0,2015,5,22
2015-05-21,130.070007,131.630005,129.830002,131.389999,39730400,129.537539,-1.319992,0,2015,5,21
2015-05-20,130,130.979996,129.339996,130.059998,36454900,128.226289,-0.059998,0,2015,5,20
2015-05-19,130.690002,130.880005,129.639999,130.070007,44633200,128.236158,0.619995,1,2015,5,19
2015-05-18,128.380005,130.720001,128.360001,130.190002,50882900,128.354461,-1.809997,0,2015,5,18
2015-05-15,129.070007,129.490005,128.210007,128.770004,38208000,126.954483,0.300003,1,2015,5,15
2015-05-14,127.410004,128.949997,127.160004,128.949997,45203500,127.131938,-1.539993,0,2015,5,14
2015-05-13,126.150002,127.190002,125.870003,126.010002,34694200,124.233394,0.14,1,2015,5,13
2015-05-12,125.599998,126.879997,124.82,125.870003,48160000,124.095369,-0.270005,0,2015,5,12
2015-05-11,127.389999,127.559998,125.629997,126.32,42035800,124.539021,1.069999,1,2015,5,11
2015-05-08,126.68,127.620003,126.110001,127.620003,55550400,125.820696,-0.940003,0,2015,5,8
